slug,symbol,name,date,ranknow,open,high,low,close,volume,market_price,close_ratio,spread
bitcoin,BTC,Bitcoin,5/16/2013,1,114.22,118.76,112.2,118.76,0,1325726787,1,6.56
bitcoin,BTC,Bitcoin,5/17/2013,1,118.21,125.3,116.57,123.01,0,1373723882,0.7377,8.73
bitcoin,BTC,Bitcoin,5/18/2013,1,123.5,125.25,122.3,123.5,0,1379574546,0.4068,2.95
bitcoin,BTC,Bitcoin,5/19/2013,1,123.21,124.5,119.57,121.99,0,1363204703,0.4909,4.93
bitcoin,BTC,Bitcoin,5/20/2013,1,122.5,123.62,120.12,122,0,1363709900,0.5371,3.5
bitcoin,BTC,Bitcoin,5/21/2013,1,122.02,123,121.21,122.88,0,1374013440,0.933,1.79
bitcoin,BTC,Bitcoin,5/22/2013,1,122.89,124,122,123.89,0,1385778993,0.945,2
bitcoin,BTC,Bitcoin,5/23/2013,1,123.8,126.93,123.1,126.7,0,1417769833,0.9399,3.83
bitcoin,BTC,Bitcoin,5/24/2013,1,126.3,133.85,125.72,133.2,0,1491070770,0.92,8.13
bitcoin,BTC,Bitcoin,5/25/2013,1,133.1,133.22,128.9,131.98,0,1477958233,0.713,4.32
bitcoin,BTC,Bitcoin,5/26/2013,1,131.99,136,130.62,133.48,0,1495293015,0.5316,5.38
bitcoin,BTC,Bitcoin,5/27/2013,1,133.5,135.46,124.7,129.74,0,1454029510,0.4684,10.76
bitcoin,BTC,Bitcoin,5/28/2013,1,129.77,130.58,125.6,129,0,1446189975,0.6827,4.98
bitcoin,BTC,Bitcoin,5/29/2013,1,129,132.59,127.66,132.3,0,1483734578,0.9412,4.93
bitcoin,BTC,Bitcoin,5/30/2013,1,132.25,132.25,127,128.8,0,1445053941,0.3429,5.25
bitcoin,BTC,Bitcoin,5/31/2013,1,128.8,129.9,126.4,129,0,1447870200,0.7429,3.5
bitcoin,BTC,Bitcoin,6/1/2013,1,128.82,129.78,127.2,129.3,0,1451916165,0.814,2.58
bitcoin,BTC,Bitcoin,6/2/2013,1,129.3,129.4,115.05,122.29,0,1373837500,0.5045,14.35
bitcoin,BTC,Bitcoin,6/3/2013,1,122.5,122.5,116,122.22,0,1373708058,0.9569,6.5
bitcoin,BTC,Bitcoin,6/4/2013,1,120.74,123.84,119.1,121.42,0,1365337545,0.4895,4.74
bitcoin,BTC,Bitcoin,6/5/2013,1,121.4,123.47,119.9,121.65,0,1368486469,0.4902,3.57
bitcoin,BTC,Bitcoin,6/6/2013,1,121.9,123.1,117.25,118,0,1327960200,0.1282,5.85
bitcoin,BTC,Bitcoin,6/7/2013,1,118.97,119,106.42,111.5,0,1255258638,0.4038,12.58
bitcoin,BTC,Bitcoin,6/8/2013,1,111,111.42,107.3,108.3,0,1219717920,0.2427,4.12
bitcoin,BTC,Bitcoin,6/9/2013,1,107.89,108.99,88.5,100,0,1126642500,0.5612,20.49
bitcoin,BTC,Bitcoin,6/10/2013,1,100.44,110.1,95,106.35,0,1198638945,0.7517,15.1
bitcoin,BTC,Bitcoin,6/11/2013,1,106.35,109.6,104,108.9,0,1227874725,0.875,5.6
bitcoin,BTC,Bitcoin,6/12/2013,1,109,111.79,106.73,108.15,0,1219969853,0.2806,5.06
bitcoin,BTC,Bitcoin,6/13/2013,1,108.78,110.3,100.53,104,0,1173637400,0.3552,9.77
bitcoin,BTC,Bitcoin,6/14/2013,1,103.95,104.7,98,99.98,0,1128709292,0.2955,6.7
bitcoin,BTC,Bitcoin,6/15/2013,1,100,103.7,98,99.99,0,1129245604,0.3491,5.7
bitcoin,BTC,Bitcoin,6/16/2013,1,99.8,101.6,98.95,99.51,0,1124306272,0.2113,2.65
bitcoin,BTC,Bitcoin,6/17/2013,1,99.9,102.21,99,101.7,0,1149418485,0.8411,3.21
bitcoin,BTC,Bitcoin,6/18/2013,1,101.95,111.11,101.03,107.4,0,1214216070,0.6319,10.08
bitcoin,BTC,Bitcoin,6/19/2013,1,107.05,110.22,105.75,108.25,0,1224193838,0.5593,4.47
bitcoin,BTC,Bitcoin,6/20/2013,1,108.25,114.3,107.5,110.15,0,1246104920,0.3897,6.8
bitcoin,BTC,Bitcoin,6/21/2013,1,111.29,114.99,107.68,109.5,0,1239214238,0.249,7.31
bitcoin,BTC,Bitcoin,6/22/2013,1,109.5,109.96,107.51,108.3,0,1226110328,0.3224,2.45
bitcoin,BTC,Bitcoin,6/23/2013,1,108.2,108.8,106.23,107.6,0,1218626490,0.5331,2.57
bitcoin,BTC,Bitcoin,6/24/2013,1,107.9,108.33,100.98,102.74,0,1163935726,0.2395,7.35
bitcoin,BTC,Bitcoin,6/25/2013,1,102.09,106.47,101.01,103.95,0,1178086140,0.5385,5.46
bitcoin,BTC,Bitcoin,6/26/2013,1,103.33,105.49,102.79,104,0,1179105200,0.4481,2.7
bitcoin,BTC,Bitcoin,6/27/2013,1,104,104,101.1,101.44,0,1150468023,0.1172,2.9
bitcoin,BTC,Bitcoin,6/28/2013,1,101.74,101.74,92.33,94.65,0,1073887457,0.2465,9.41
